Record.ID,Citation,Links
815,[],"['https://econ.sites.northeastern.edu/wiki/microeconomics/markets-and-government/the-unintendedconsequences-of-price-ceilings-a-historical-overview/', 'https://mises.org/journal-libertarianstudies/failure-bolshevism-and-its-aftermath.', 'https://marketmonetarist.com/2013/07/29/beating-the-iron-law-of-publicchoice-a-reply-to-peter-boettke.', 'https://www.heritage.org/government-regulation/report/why-pricecontrols-prescription-drugs-would-harm-seniors.', 'https://youtu.be/yuhuKiTw4n8.', 'https://www.hoover.org/research/price-controls-still-bad-idea.', 'https://www.reaganlibrary.gov/archives/speech/radio-address-nationoil-prices.', 'https://www.aaas.org/sites/default/files/2022-10/OpenAccessSurveyReport_Oct2022_FINAL.pdf.', 'https://bidenwhitehouse.archives.gov/wp-content/uploads/2023/11/Open-AccessPublishing-of-Scientific-Research.pdf.', 'https://www.coalition-s.org/blog/journal-comparison-service-analysis-of-the-2022-data/.', 'https://op.europa.eu/en/publication-detail/-/publication/08da357e-926e-11ee-8aa601aa75ed71a1/language-en.', 'https://op.europa.eu/s/z8RB.', 'https://plos.org/fees/.', 'https://plos.org/financial-overview/.', 'https://elifesciences.org/annual-reports.', 'https://blogs.lse.ac.uk/impactofsocialsciences/2025/09/11/shaking-up-the-scholarly-publishing-marketwhy-caps-on-apcs-could-backfire/.', 'https://www.csescienceeditor.org/article/the-changing-landscape-of-oa-ta/.', 'https://sustainingknowledgecommons.org/2021/02/10/some-limitations-of-doaj-metadata-forresearch-purposes/.', 'https://www.deltathink.com/news-views-open-access-chargesprice-increases-back-on-trend.', 'https://www.insidehighered.com/news/government/science-researchpolicy/2024/08/29/open-access-expansion-threatens-academic.', 'https://www.govexec.com/management/2020/04/we-know-almost-nothingabout-costs-grant-administration/164440.', 'https://www.cogr.edu/changes-federal-research-requirements-1991.', 'https://thefdp.org/wp-content/uploads/FDP-FWS-2018-Primary-Report.pdf.', 'https://doi.org/10.17226/29231.', 'https://www.wipo.int/web/global-innovation-index/w/blogs/2024/end-of-yearedition.', 'https://ncses.nsf.gov/pubs/nsb20257.', 'https://www.csis.org/analysis/innovation-lightbulbbreaking-down-private-sector-research-and-development.', 'https://www.deltathink.com/news-views-total-value-of-scholarly-journalsmarket.', 'https://www.stm-publishing.com/global-scientific-technical-publishing-2023-2027.', 'https://scholarlykitchen.sspnet.org/2021/06/16/whats-wrong-with-paying-forpeer-review/.', 'https://researchintegrityjournal.biomedcentral.com/articles/10.1186/s41073-023-00128-2.', 'https://www.science.org/content/article/450-question-should-journals-pay-peer-reviewers.', 'https://www.ecfr.gov/current/title-2/subtitle-A/chapter-II/part-200/section200.461.', 'https://www.ecfr.gov/current/title2/subtitle-A/chapter-II/part-200.', 'https://www.kwglobal.com/blog/pay-peer-reviewers/.', 'https://www.springernature.com/gp/reviewers/reviewersatisfaction.', 'https://www.equator-network.org/reporting-guidelines/.', 'https://jamanetwork.com/journals/jama/fullarticle/2832868', 'https://www.wolterskluwer.com/en/expertinsights/authors-equator-network.', 'https://publicationethics.org/guidance/guideline/guest-edited-collections.', 'https://www.elsevier.com/open-access.', 'https://doi.org/10.1629/uksg.663.', 'https://ondemand.sspnet.org/Title/e57561df-a949-49d8-87795b03a470e28e.', 'https://doi.org/10.1186/s41073-025-00163-1.', 'https://stm-assoc.org/what-we-do/strategic-areas/research-integrity/integrityhub/.', 'https://united2act.org/wpcontent/uploads/2024/11/trust-markers-united2act.pdf.', 'https://doi.org/10.5281/zenodo.14107216.', 'https://stm-assoc.org/what-we-do/strategic-areas/standards-technology/stm-trends-2028/.', 'https://stm-assoc.org/what-we-do/strategic-areas/social-responsibility/diversityinclusion/accessibility-resources-for-academic-publishers/.', 'https://www.equator-network.org/reporting-guidelines/.', 'https://jamanetwork.com/journals/jama/fullarticle/2832868', 'https://www.wolterskluwer.com/en/expertinsights/authors-equator-network.', 'https://publicationethics.org/guidance/guideline/guest-edited-collections.', 'https://www.elsevier.com/open-access.', 'https://doi.org/10.1629/uksg.663.', 'https://ondemand.sspnet.org/Title/e57561df-a949-49d8-87795b03a470e28e.', 'https://doi.org/10.1186/s41073-025-00163-1.', 'https://stm-assoc.org/what-we-do/strategic-areas/research-integrity/integrityhub/.', 'https://united2act.org/wpcontent/uploads/2024/11/trust-markers-united2act.pdf.', 'https://doi.org/10.5281/zenodo.14107216.', 'https://stm-assoc.org/what-we-do/strategic-areas/standards-technology/stm-trends-2028/.', 'https://stm-assoc.org/what-we-do/strategic-areas/social-responsibility/diversityinclusion/accessibility-resources-for-academic-publishers/.']"
818,[],"['https://www.whitehouse.gov/wp-content/uploads/2025/03/OSTP-Guidance-for-GSS-June-2025.pdf', 'https://www.nih.gov/sites/default/files/202508/2025-gss.pdf', 'https://www.deltathink.com/newsviews-total-value-of-scholarly-journals-market', 'https://www.springernature.com/gp/open-science/journals-books/journals/going-for-gold-reach-andimpact', 'https://www.nih.gov/sites/default/files/2025-08/2025-gss.pdf', 'https://www.nih.gov/sites/default/files/2025-08/2025-gss.pdf', 'https://annualreport.springernature.com/2024/pdfs/Springer_Nature_Annual_report_24_FULL.pdf', 'https://www.springernature.com/gp/advancing-discovery/researchintegrity', 'https://www.nature.com/nature-portfolio/editorialpolicies/reporting-standards', 'https://nap.nationalacademies.org/catalog/29231/simplifying-research-regulations-and-policiesoptimizing-american-science', 'https://www.ecfr.gov/current/title-45/subtitleA/subchapter-A/part-75/subpart-E/subject-group-ECFR5d90ba314caea08/section-75.461', 'https://www.ecfr.gov/current/title-2/subtitle-A/chapter-II/part-200/subpart-E/subject-groupECFRed1f39f9b3d4e72/section-200.461', 'https://grants.nih.gov/grants/policy/nihgps/html5/section_7/7.9_allowability_of_costs_activities.htm', 'https://www.springernature.com/gp/open-science/journalsbooks/journals/going-for-gold-reach-and-impact', 'https://stories.springernature.com/oa-report-2024/', 'https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-A/part-75/subpartE/subject-group-ECFR5d90ba314caea08/section-75.461', 'https://www.ecfr.gov/current/title-2/subtitleA/chapter-II/part-200/subpart-E/subject-group-ECFRed1f39f9b3d4e72/section-200.461', 'https://grants.nih.gov/grants/policy/nihgps/html5/section_7/7.9_allowability_of_costs_activities.htm', 'https://www.scholcommlab.ca/2025/09/03/nih-apc-caps/', 'https://www.nih.gov/sites/default/files/2025-08/2025-gss.pdf', 'https://www.nih.gov/sites/default/files/2025-08/2025-gss.pdf', 'https://www.whitehouse.gov/wpcontent/uploads/2025/03/OSTP-Guidance-for-GSS-June-2025.pdf', 'https://www.scholcommlab.ca/2025/09/03/nih-apc-caps/', 'https://www.scholcommlab.ca/2025/09/03/nih-apc-caps/', 'https://www.springernature.com/gp/open-science/journals-books/journals/going-for-goldreach-and-impact', 'https://annualreport.springernature.com/2024/pdfs/Springer_Nature_Annual_report_24_FULL.pdf', 'https://www.deltathink.com/newsviews-total-value-of-scholarly-journals-market', 'https://zenodo.org/records/14013060', 'https://www.nih.gov/sites/default/files/2025-08/2025-gss.pdf', 'https://group.springernature.com/gp/group/media/press-releases/transparent-peer-review-nowstandard-for-nature/27788498', 'https://www.springernature.com/gp/advancing-discovery/research-integrity', 'https://stories.springernature.com/oa-report-2024/', 'protocols.io', 'https://group.springernature.com/gp/group/media/pressreleases/transparent-peer-review-now-standard-for-nature/27788498', 'https://www.springernature.com/gp/advancing-discovery/springboard/blog/blogposts-openresearch/partnerships-to-gain-trust-and-advance-open-science/18767374', 'https://annualreport.springernature.com/2024/pdfs/Springer_Nature_Annual_report_24_FULL.pdf', 'https://www.springernature.com/gp/editors/research-integrity', 'https://annualreport.springernature.com/2024/pdfs/Springer_Nature_Annual_report_24_FULL.pdf', 'https://www.nature.com/nature-portfolio/editorial-policies/reporting-standards', 'https://annualreport.springernature.com/2024/pdfs/Springer_Nature_Annual_report_24_FULL.pdf', 'https://www.nih.gov/sites/default/files/2025-08/2025-gss.pdf', 'https://www.nih.gov/sites/default/files/202508/2025-gss.pdf', 'https://www.springernature.com/gp/reviewers/reviewer-satisfaction', 'https://group.springernature.com/gp/group/media/press-releases/transparent-peer-review-nowstandard-for-nature/27788498', 'https://www.springernature.com/gp/advancing-discovery/springboard/blog/blogposts-trustintegrity/harnessing-technology-to-strengthen-research-integrity/27802690', 'https://annualreport.springernature.com/2024/pdfs/Springer_Nature_Annual_report_24_FULL.pdf', 'https://www.nature.com/nature-portfolio/editorial-policies/reporting-standards', 'https://www.springernature.com/gp/advancing-discovery/research-integrity', 'https://www.springernature.com/gp/researchers/sharedit', 'https://www.springernature.com/gp/snapp', 'https://annualreport.springernature.com/2024/pdfs/Springer_Nature_Annual_report_24_FULL.pdf', 'https://www.springernature.com/gp/advancing-discovery/springboard/blog/blogposts-trustintegrity/harnessing-technology-to-strengthen-research-integrity/27802690', 'https://annualreport.springernature.com/2024/pdfs/Springer_Nature_Annual_report_24_FULL.pdf', 'https://www.nature.com/nature-portfolio/editorial-policies/reporting-standards', 'https://www.springernature.com/gp/advancing-discovery/research-integrity', 'https://www.springernature.com/gp/researchers/sharedit', 'https://www.springernature.com/gp/snapp', 'https://annualreport.springernature.com/2024/pdfs/Springer_Nature_Annual_report_24_FULL.pdf']"
819,[],"['https://arxiv.org/abs/1801.08992', 'https://sfdora.org/read/', 'https://coara.org/', 'https://www.nationalacademies.org/ourwork/roundtable-on-aligning-incentives-for-open-science', 'https://grants.nih.gov/grants/guide/notice-files/NOT-OD-21013.html', 'https://grants.nih.gov/grants/guide/notice-files/NOT-OD1168', 'https://irp.nih.gov/our-research/irpreview-process', 'https://lifecyclejournal.org/', 'https://zenodo.org/records/14013060', 'https://www.embo.org/features/the-cost-of-scientific-publishing/', 'https://bidenwhitehouse.archives.gov/wp-content/uploads/2023/11/Open-AccessPublishing-of-Scientific-Research.pdf', 'https://blogs.lse.ac.uk/impactofsocialsciences/2025/09/11/shaking-up-thescholarly-publishing-market-why-caps-on-apcs-could-backfire/', 'https://grants.nih.gov/grants/guide/notice-files/NOT-OD-18-011.html', 'https://www.cos.io/initiatives/top-guidelines', 'https://www.cos.io/initiatives/top-guidelines']"
822,['Evidence. The Publons Global State of Peer Review (2018)'],[]
823,[],"['https://link.springer.com/article/10.1007/s11192-023-04894-0', 'https://www.cambridge.org/core/services/openresearch/transparent-pricing-policy-for-journals', 'https://www.cambridge.org/core/services/openresearch/journal-cost-transparency']"
824,[],"['https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-A/part-75/subpart-D/subject-groupECFR78b08d9c95aad03/section-75.322', 'https://www.deltathink.com/news-views-open-access-charges-continued-consolidation-andincreases-3', 'https://credit.niso.org/', 'https://credit.niso.org/']"
825,"['D. (2025)', 'K. (2024)']","['https://facts.mit.edu/research-highlights/', 'https://libraries.mit.edu/scholarly/publishing/framework/', 'https://www.whitehouse.gov/wp-content/uploads/2025/03/OSTP-Guidance-for-GSS-June-2025.pdf', 'https://libraries.mit.edu/scholarly/publishing/framework/', 'https://www.coalition-s.org/wpcontent/uploads/PlanS_Principles_and_Implementation_310519.pdf', 'https://open-sciencemonitoring.org/principles/', 'https://grandchallenges.pubpub.org/pub/final/release/3', 'https://journals.sagepub.com/doi/10.3233/ISU-150775', 'https://firstmonday.org/ojs/index.php/fm/article/view/12941', 'https://www.science.org/doi/10.1126/science.adi1570', 'https://www.leidenmadtrics.nl/articles/assessment-reform-and-publishing-reform-need-to-go-hand-inhand', 'https://brill.com/display/book/edcoll/9789004459076/BP000016.xml', 'https://doi.org/10.1371/journal.pbio.2004089', 'https://www.science.org/content/article/pay-publish-model-open-access-pricing-scientists', 'https://www.iastatedigitalpress.com/jlsc/article/id/12727/', 'https://www.nih.gov/about-nih/nihdirector/statements/nih-establish-new-policies-allowable-publication-costs', 'https://www.coalition-s.org/whyhybrid-journals-do-not-lead-to-full-and-immediate-open-access/', 'https://digitalcommons.unl.edu/scholcom/132/', 'https://www.scholcommlab.ca/2025/09/03/nih-apc-caps/.', 'https://doi.org/10.7910/DVN/3XDMNF', 'https://doi.org/10.5281/zenodo.10729575']"
831,[],"['https://www.nih.gov/sites/default/files/2025-08/2025-gss.pdf].', 'https://www.elsevier.com/researcher/author/tools-and-resources/research-data/open-data];', 'https://www.cell.com/news-do/star-methods];', 'https://www.elsevier.com/connect/results-masked-review-peer-review-withoutpublication-bias].', 'https://www.cos.io/]', 'https://www.cos.io/initiatives/top-guidelines].', 'https://open-researcheurope.ec.europa.eu/],', 'https://www.octopus.ac/].', 'https://op.europa.eu/en/publication-detail/-/publication/08da357e-926e-11ee-8aa601aa75ed71a1/language-en/format-PDF/source-297748120].', 'https://scholarlykitchen.sspnet.org/2021/06/16/whats-wrong-with-paying-for-peer-review/].', 'https://stmassoc.org/what-we-do/strategic-areas/research-integrity/integrity-hub/],', 'https://stm-assoc.org/]', 'https://www.elsevier.com/about/policies-andstandards/pricing#1-publishing-charges]', 'https://www.elsevier.com/about/policies-and-standards/pricing],', 'https://www.elsevier.com/books-and-journals/journal-pricing/apc-pricelist]', 'https://publicationethics.org/guidance/cope-position/editorialindependence],', 'https://www.elsevier.com/about/policies-and-standards/digital-archive].', 'https://publicationethics.org/guidance/cope-position/editorialindependence],', 'https://www.elsevier.com/about/policies-and-standards/digital-archive].']"
839,[],['https://en.wikipedia.org/wiki/Project_DEAL']
840,[],"['https://www.coalitions.org/price-and-service-transparency-frameworks/', 'https://esac-initiative.org/common-understanding-onapcs/?utm_source=chatgpt.com', 'https://zenodo.org/records/14261488', 'https://www.coalition-s.org/wpcontent/uploads/2024/09/HowEquitableIsIt_Framework_criteria_definitions.pdf', 'https://www.coalition-s.org/pricingframework-to-foster-global-equity-in-scholarly-publishing/', 'https://theplosblog.plos.org/2025/02/plos-price-transparencyupdate-2024/', 'https://f1000research.com/for-authors/article-processing-charges', 'https://blog.ubiquitypress.com/new-u-ubiquity-press-apcbreakdown-8a5372952e72', 'https://insights.uksg.org/articles/10.1629/uksg.690', 'https://gatesopenresearch.org/documents/759', 'https://www.inasp.info/openaccess-policy-options-paper', 'https://www.stm-publishing.com/aaas-survey-manyresearchers-face-difficulties-paying-open-access-fees/', 'https://allea.org/it-matters-how-we-open-knowledgeallea-statement-on-equity-in-open-access/', 'https://crl.acrl.org/index.php/crl/article/view/25978/33917', 'https://gh.bmj.com/content/5/9/e003650', 'https://www.nature.com/articles/d41586-022-01414-7']"
845,"['(Johnson & Fuesting, 2025)']",[]
849,[],"['https://rupress.org/pages/publication-fees-and-choices', 'https://researchintegrityjournal.biomedcentral.com/articles/10.1186/s41073-021-00118-2', 'https://scholarlykitchen.sspnet.org/2021/06/16/whats-wrong-with-paying-for-peer-review/']"
852,[],"['https://report.nih.gov/', 'https://www.hhs.gov/ohrp/regulations-and-policy/guidance/faq/informedconsent/index.html', 'clinicaltrials.gov', 'https://www.nih.gov/about-nih/science-health-public-trust/tools/explaining-how-research-works.']"
860,[],"['https://www.the-geyser.com/nih-poised-to-regulate-apcs/', 'https://grants.nih.gov/policy-and-compliance/policy-topics/inclusion/women-andminorities', 'https://grants.nih.gov/policy-and-compliance/policy-topics/inclusion/lifespan', 'https://agsjournals.onlinelibrary.wiley.com/doi/toc/10.1111/', 'https://www.healthinaging.org/', 'HealthinAging.org']"
863,"['(INASP, 2025)', 'L. et. al (2023)', 'C. S. (2025)']",['https://www.inasp.info/open-access-policyoptions-paper.']
864,[],"['https://upstream.force11.org/capping-apcs-may-not-work/', 'https://bidenwhitehouse.archives.gov/wpcontent/uploads/2022/08/08-2022-OSTP-Public-Access-Memo.pdf', 'https://www.embo.org/features/thecost-of-scientific-publishing/', 'https://www.embo.org/features/the-cost-of-scientific-publishing/', 'https://www.scholcommlab.ca/2025/09/03/nih-apc-caps/', 'https://www.ecfr.gov/current/title-2/subtitle-A/chapter-II/part-200/subpart-E', 'https://www.ecfr.gov/current/title-2/subtitle-A/chapter-II/part200/subpart-E/subject-group-ECFRed1f39f9b3d4e72/section-200.461', 'https://www.whitehouse.gov/presidentialactions/2025/05/restoring-gold-standard-science/', 'https://scholarlykitchen.sspnet.org/2021/06/16/whats-wrong-with-paying-for-peer-review/']"
865,['Haustein et al. (2025)'],"['https://zenodo.org/records/10729575', 'https://scholarworks.alaska.edu/handle/11122/6928', 'https://www.scholcommlab.ca/2025/09/03/nih-apc-caps/', 'https://www.deltathink.com/news-views-open-access-charges-price-increases-back-on-trend', 'https://www.researchprofessionalnews.com/rrnews-world-2025-2-elsevier-parent-company-reports-10-rise-in-profit-to-3-2bn/', 'https://doi.org/10.1162/qss_a_00272', 'https://www.openapc.net/', 'https://prereview.org/', 'https://peercommunityin.org/', 'https://infrafinder.investinopen.org', 'https://infrafinder.investinopen.org']"
866,[],"['https://www.nlm.nih.gov/medline/medline_about_lstrc.html', 'https://www.nlm.nih.gov/medline/medline_about_lstrc.html']"
870,['Christos Petrou in The Scholarly Kitchen (2023)'],"['https://doi.org/10.7910/DVN/3XDMNF', 'https://doi.org/10.1001/jama.2023.3212', 'https://perma.cc/7GRD-HN2R']"
871,[],"['https://osp.od.nih.gov/comment-form-maximizing-research-funds-bylimiting-allowable-publishing-costs/', 'idsociety.org']"
874,[],"['https://doi.org/10.1002/asi.24487', 'https://www.cell.com/ajhg/authors', 'https://www.cell.com/open-access']"
877,"['OAlition S (2021)', 'E. (2018)']","['https://www.coalition-s.org/why-hybrid-journals-do-not-lead-tofulland-immediate-open-access/', 'https://doi.org/10.2196/44633.', 'https://doi.org/10.1108/IDD-09-2021-0098', 'https://www.science.org/content/article/win-open-access-two-major-funders-wontcoverpublishing-hybrid-journals.']"
880,[],"['https://doaj.org/apply/transparency/', 'https://doaj.org/apply/transparency/']"
882,"['Pulverer B. EMBO rep (2023)', 'Pulverer B. EMBO Rep (2024)']","['https://www.embo.org', 'https://www.embopress.org', 'https://www.reviewcommons.org', 'https://www.embo.org/features/the-cost-of-scientific-publishing/', 'https://www.embo.org/features/the-costof-scientific-publishing/', 'https://www.embo.org/features/the-cost-of-scientific-publishing/.', 'https://doi.org/10.15252/embr.202357638', 'https://doi.org/10.1038/s44319-024-00105-w', 'https://zenodo.org/records/15968446.']"
883,"['J. (2024)', 'L. (2020)', 'ESAC Initiative. (2024)', 'V. (2021)']","['https://doi.org/10.5281/zenodo.13738479', 'https://www.jisc.ac.uk/news/all/jisc-uk-institutions-andwiley-renew-open-access-agreement', 'https://www.uksg.org/newsletter/uksg-enews-464/jisc-wiley-agreement', 'https://esacinitiative.org/about/transformative-agreements/agreement-registry/', 'https://doi.org/10.5281/zenodo.4558704', 'https://www.universiteitleiden.nl/open-sciencecommunity-leiden/news/rethinking-publishing']"
889,[],"['https://doaj.org/search/journals?source=%7B%22query%22%3A%7B%22bool%22%3A%7B%22must%2', '22bibjson.publisher.name', 'https://legacyfileshare.elsevier.com/promis_misc/article-publishing-charge.pdf.']"
890,[],"['geron.org', 'geron.org']"
892,[],"['https://planp.science', 'https://zenodo.org/records/5786370', 'opensci.id', 'OpenSci.ID', 'https://doi.org/10.1371/journal.pbio.0040157']"
893,[],"['https://www.ce-strategy.com/the-brief/capped/', 'https://www.whitehouse.gov/wp-content/uploads/2025/03/OSTP-Guidance-for-GSS-June-2025.pdf', 'https://www.nih.gov/sites/default/files/2025-08/2025-gss.pdf', 'https://www.purposeledpublishing.org/', 'https://www.nature.com/nature-index/news/journals-publish-most-nobel-prize-winning-research-papers-physics', 'https://www.aps.org/publications/nobel-prize-winning-research', 'https://journals.aps.org/authors/apcs']"
898,[],['cornell.edu']
899,[],"['https://zenodo.org/records/5786370', 'https://www.jmir.org', 'https://www.jmir.org/1999/2/e9/', 'https://zenodo.org/records/4558704', 'https://support.jmir.org/hc/en-us/articles/115002923468-What-are-JMIR-s-innovations', 'https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.0040157', 'https://scholarlykitchen.sspnet.org/2018/02/06/focusing-value-102-things-journalpublishers-2018-update/', 'http://planp.science', 'https://blogs.lse.ac.uk/impactofsocialsciences/2025/09/11/shaking-up-the-scholarlypublishing-market-why-caps-on-apcs-could-backfire/']"
900,[],['https://journals.asm.org/s2o-author-faq#benefitsfor-authors']
904,['At this point (2025)'],"['https://www.reviewcommons.org/', 'https://prereview.org/en-us', 'https://elifesciences.org/', 'https://doi.org/10.1371/journal.pbio.3000151', 'https://doi.org/10.1371/journal.pbio.3000273', 'https://doi.org/10.1371/journal.pbio.3002234', 'https://doi.org/10.1371/journal.pbio.3002502', 'https://doi.org/10.1101/833400', 'https://doi.org/10.1038/s41592-023-01817-y', 'https://osf.io/ew8uv/', 'https://doi.org/10.31219/osf.io/8zj9w', 'https://doi.org/10.20344/amp.19675']"
912,[],['https://www.sfn.org/-/media/SfN/Documents/NEW-SfN/About/Annual-Report/20241004-SfN2024AnnualReport-final.pdf']
913,"['Bethesda Statement on Open Access Publishing (2003)', 'D. (2025)']","['https://archive.org/details/jlis_it-8628', 'https://www.go-fair.org/fair-principles/', 'https://www.federalregister.gov/documents/2020/02/19/2020-03189/request-for-information-public-accessto-peer-reviewed-scholarly-publications-data-and-code', 'https://doi.org/10.36591/SE-4801-04', 'https://www.whitehouse.gov/presidential-actions/2025/05/restoring-gold-standard-science/', 'https://www.whitehouse.gov/wp-content/uploads/2025/03/OSTP-Guidance-for-GSS-June-2025.pdf', 'https://grants.nih.gov/grants/guide/notice-files/NOT-OD-25-138.html', 'https://www.deltathink.com/news-views-open-access-charges-price-increases-back-on-trend', 'https://www.scholcommlab.ca/2025/09/03/nih-apc-caps/', 'https://www.nih.gov/about-nih/nih-director/statements/accelerating-access-research-results-newimplementation-date-2024-nih-public-access-policy', 'https://creativecommons.org/licenses/by/4.0/', 'https://grants.nih.gov/grants/guide/notice-files/NOT-OD-25-138.html', 'https://doi.org/10.7910/DVN/3XDMNF', 'https://upstream.force11.org/capping-apcs-may-not-work/', 'https://storage.courtlistener.com/recap/gov.uscourts.nyed.520652/gov.uscourts.nyed.520652.63.0.pdf', 'https://www.ftc.gov/legal-library/browse/casesproceedings/152-3113-omics-group-inc', 'https://peerreviewcongress.org/abstract/monetary-incentives-for-peer-review-at-a-medical-journal-a-quasirandomized-experimental-study/', 'tomciav.com', 'https://publons.com/static/Publons-Global-State-Of-PeerReview-2018.pdf']"
